experiment_id,run_id,candidate_family,variant_id,base_candidate,features_used,School_used_as_feature,external_data_used,leaderboard_used,hpo_strategy,hpo_budget_mode,hpo_trials_or_configs,cv_protocol,fold_sha,primary_metric,oof_auc,delta_vs_m0,delta_vs_m1,delta_vs_current_candidate_baseline_if_applicable,fold_mean_auc,fold_std_auc,same_sign_positive_folds_vs_m1,slice_guard_status,leakage_checks_passed,selection_bias_warning_status,artifacts_manifest_path,validation_report_path,notes
phase10_model_optimization_v1,phase10_standard_20260619_0152,LogisticRegression,m1_logistic_regression_tuned,m1_logistic_regression_baseline,F2,False,False,False,bounded_deterministic_config_search,Standard,50,frozen_5fold_sha16_96937649526bcadb,96937649526bcadb,ROC-AUC positive-class probability Drafted=1,0.8274819177762125,0.015831657530564258,0.0003998108129258382,0.0003998108129258382,0.8283660465748911,0.026555834077699392,3.0,triggered,True,warning_hpo_same_cv_substrate,outputs\reports\phase10_model_optimization_phase10_standard_20260619_0152_artifact_manifest.csv,outputs\reports\phase10_model_optimization_phase10_standard_20260619_0152_validation_report.md,No final winner selected; awaiting independent recomputation and Opus review.
phase10_model_optimization_v1,phase10_standard_20260619_0152,CatBoost,catboost_tuned,catboost_baseline,F2,False,False,False,limited_deterministic_config_search_separate_env,Standard,30,frozen_5fold_sha16_96937649526bcadb,96937649526bcadb,ROC-AUC positive-class probability Drafted=1,0.830320858101755,0.018670597856106808,0.0032387511384683876,0.010026461237632733,0.8314775455604503,0.02815356127335168,3.0,triggered,True,warning_hpo_same_cv_substrate,outputs\reports\phase10_model_optimization_phase10_standard_20260619_0152_artifact_manifest.csv,outputs\reports\phase10_model_optimization_phase10_standard_20260619_0152_validation_report.md,No final winner selected; awaiting independent recomputation and Opus review.
