experiment_id,model_key,phase,notebook_or_script,git_commit_or_status,feature_block,model_family,hpo_status,cv_auc_mean,cv_auc_std,oof_auc,delta_vs_m0,delta_vs_m1,slice_metrics_available,leakage_checks_passed,submission_created,submission_path,decision,notes
phase8_wave2_external_gbdt_v1,xgboost,Phase 8 Wave 2,notebooks/08c_phase8_wave2_external_gbdt_comparison.ipynb,98d8bb9bc0cc2cccd0c3722a9efebf56ab63021e,F2,xgboost,not_run,0.811975414606499,0.02422799473420046,0.8113477083751576,-0.0003025518704906638,-0.015734398588129084,True,True,False,,no_qualifying_evidence,No winner declared; classification is evidence only.
phase8_wave2_external_gbdt_v1,lightgbm,Phase 8 Wave 2,notebooks/08c_phase8_wave2_external_gbdt_comparison.ipynb,98d8bb9bc0cc2cccd0c3722a9efebf56ab63021e,F2,lightgbm,not_run,0.8065149577481392,0.022354359986600295,0.8062204891415921,-0.00542977110405618,-0.0208616178216946,True,True,False,,no_qualifying_evidence,No winner declared; classification is evidence only.
phase8_wave2_external_gbdt_v1,catboost,Phase 8 Wave 2,notebooks/08c_phase8_wave2_external_gbdt_comparison.ipynb,98d8bb9bc0cc2cccd0c3722a9efebf56ab63021e,F2,catboost,not_run,0.8214672549892178,0.022969379744692993,0.8202943968641223,0.008644136618474074,-0.006787710099164346,True,True,False,,escalated,No winner declared; classification is evidence only.
